Id,Parts,Price
1,BRAKE STICK GN125.   750,   750
5,BRAKE STICK CG125.    750,    750
8,BRAKE STICK BM150.     1200,     1200
12,BRAKE  STICK  TVSHLX. 1200, 1200
16,OIL COOLER CG125/GN.    2000,    2000
20,OIL PUMP CG125/GN.     4000,     4000
24,SIT  COVER  GN125.      3500,      3500
28,GEAR LIVER GN125  SIZE13 BOLT.     1300,     1300
32,GEAR LIVER CGL125/ GN DOUBLE.     2000,     2000
36,GEAR LIVER  BM150.  3000,  3000
40,GEAR LIVER TVSHLX.   3000,   3000
44,BRAKE ARM GN125.    1200,    1200
48,ADJUSTER CHAIN GN125.       1000,       1000
52,ADJUSTER CHAIN BM150.    2300,    2300
56,ADJUSTER CHAIN TVSHLX.      2300,      2300
60,BRAKE SPRING GN125.   150,   150
64,BRAKE SPRING CG125.  150,  150
68,BRAKE SPRING BM150. 300, 300
72,BRAKE SPRING TVSHLX.   300,   300
76,SPRING STAND KUBWA GN125.    250,    250
80,SPRING STAND KUBWA BM150.   300,   300
84,SPRING STAND KUBWA TVSHLX.       300,       300
88,SPRING STAND NDOGO GN125.      250,      250
92,SPRING STAND NDOGO BM150 . 300, 300
96,SPRING STAND NDOGO TVSHLX. 300, 300
100,PLUG CAP(SUPRESA) GN125.         350,         350
104,PLUG CAP (SUPRESA)BM150.    1000,    1000
108,PLUG CAP( SUPRESA) TVSHLX.    1000,    1000
112,GOLOLI STARTER GN125.  700,  700
116,GOLOLI STARTER  BM150.     2500,     2500
120,GOLOLI STARTER TVSHLX.   2500,   2500
124,BACK FOOTREST CG125. 2000, 2000
128,OIL FILTER BM150. 900, 900
132,MKANDA YA BATTERY GN125.     300,     300
136,SWITCH ZA HARZAD.  800,  800
140,SWITCH ZA HAZARD ( NEW MODEL).  1500,  1500
144,ADJUSTER TARPET CG/GN BLACK.   200,   200
148,ADJUSTER TARPET BM150 BLACK.   300,   300
152,CARRIER BOLT CG/GN.  300,  300
156,MFUNIKO CHINI YA OIL SIZE 24 GN125.      350,      350
160,NUT YA MSUMALI NYUMA.    250,    250
164,NUT YA MSUMALI MBELE.    200,    200
168,FRONT AXEL GN125.   1100,   1100
172,CENTER AXEL GN125.  1300,  1300
176,BACK AXEL GN125.   1400,   1400
180,CENTER AXEL  CG125.  1300,  1300
184,CLUTCH WIRE KATI.   350,   350
188,CLUTCH WIRE LONG. 400, 400
193,LED SPOTLIGHT 6EYES BLACK.    3500,    3500
197,LED SPOTLIGHT 4EYES  KIJANI.  4000,  4000
201,LED SPOTLIGHT 9EYES.    7000,    7000
205,NALI CHUMA GN125.   350,   350
210,NALI PLASTIC.     300,     300
214,EXUST KOLA GN125.    1300,    1300
218,FRONT SPROCKET LOCK CG/GN.     200,     200
222,FRONT SPROCKET LOCK BM150/ TVSHLX.   250,   250
226,STUDY BOLT GN125.  600,  600
230,LOCK CHAIN 428.    150,    150
234,MAIN SWITCH KEY GN125.    2800,    2800
238,TANK COVER LOCK GN125.   2800,   2800
242,REFRECTOR BLACK BOLT 8 SIZE.     300,     300
246,BOOT RUBBER GN125.   2500,   2500
250,BOOT RUBBER  BM150.   3000,   3000
254,BRAKE PEDAL NEW GN125. 3700, 3700
258,MKASI SIZE 19 GN125.  17000,  17000
262,HUB PANEL GN125.   10000,   10000
266,HUB PANEL CG125 BIG.    13000,    13000
270,STARTER RELAY (MTOTO WA STARTER CG/GN.  2300,  2300
274,CARBURETOR COMPLETE CG125.     11500,     11500
278,BRAKE SHOE GN125.  2350,  2350
282,VIN TAPE BLACK.   650,   650
286,VIN TAPE BLACK BIG.  1000,  1000
290,BACK ALLOY WHEEL RIM GN125.     65000,     65000
294,BACK ALLOY WHEEL RIM BM150 BLACK.   75000,   75000
298,BACK ALLOW WHEEL RIM TVSHLX125.  75000,  75000
302,BACK ALLOY WHEEL RIM CGL125 BLACK.  75000,  75000
306,FRONT ALLOY WHEEL RIM GN125.    65000,    65000
310,FRONT ALLOY WHEEL T BM150 BLACK.    75000,    75000
314,FRONT ALLOY WHEEL RIM CGL125 BLACK.  75000,  75000
